
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.8, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     7513
Number of nonzeros in inequality constraint Jacobian.:      300
Number of nonzeros in Lagrangian Hessian.............:     5300

Total number of variables............................:     1708
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1413
Total number of inequality constraints...............:      100
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.4432449e+02 1.03e+07 2.00e+08   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.4934866e+02 4.91e+08 2.23e+17   4.0 4.20e+06   6.0 1.00e+00 1.32e-01h  1
   2 -2.4937597e+02 4.91e+08 5.42e+18   6.0 3.86e+06  11.8 1.63e-02 5.63e-04h  1
   3 -2.5751324e+02 6.66e+08 1.74e+23   6.0 4.26e+06  13.2 1.00e+00 2.89e-01f  1
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 1
  Increasing icntl[13] from 1000 to 2000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 2
  Increasing icntl[13] from 2000 to 4000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 3
  Increasing icntl[13] from 4000 to 8000.
WARNING: Problem in step computation; switching to emergency mode.
  78r-1.0712439e+02 3.07e+06 5.05e+04   0.8 2.96e-01   5.3 1.00e+00 1.00e+00f  1
  79r-1.0712400e+02 3.07e+06 1.77e+04   0.8 2.95e-01   4.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r-1.0712447e+02 3.07e+06 3.76e+05   0.4 2.95e-01   6.1 1.00e+00 1.00e+00f  1
  81r-1.0712411e+02 3.07e+06 1.95e+05   0.2 2.94e-01   5.6 1.00e+00 7.19e-01f  1
  82r-1.0712431e+02 3.07e+06 1.05e+05  -0.7 2.11e-01   5.2 1.00e+00 5.43e-01f  1
  83r-1.0712426e+02 3.07e+06 8.28e+04  -2.1 1.97e-01   4.7 1.00e+00 2.36e-01f  1
  84r-1.0712436e+02 3.07e+06 7.16e+04  -2.9 1.71e-01   4.2 1.00e+00 1.40e-01f  1
  85r-1.0712447e+02 3.07e+06 6.86e+04  -2.8 2.57e-01   3.7 1.00e+00 4.29e-02f  1
  86r-1.0712456e+02 3.07e+06 6.50e+04  -2.5 7.73e-01   3.2 1.00e+00 5.34e-02f  1
  87r-1.0712450e+02 3.07e+06 6.37e+04   0.2 2.32e+00   2.8 1.00e+00 1.93e-02f  1
  88r-1.0712275e+02 3.07e+06 5.92e+04   1.8 6.86e+00   2.3 8.63e-01 7.10e-02f  1
  89r-1.0711757e+02 3.07e+06 5.45e+04   1.6 1.86e+01   1.8 6.30e-01 7.85e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r-1.0711779e+02 3.07e+06 9.30e+04   1.3 1.29e-01   5.8 1.00e+00 1.00e+00f  1
  91r-1.0711742e+02 3.07e+06 4.31e+05   1.8 2.27e-01   6.3 1.00e+00 1.00e+00f  1
  92r-1.0711781e+02 3.07e+06 1.13e+06   1.8 2.26e-01   6.7 3.37e-01 1.00e+00f  1
  93r-1.0711745e+02 3.07e+06 3.83e+05   1.8 2.26e-01   6.2 1.00e+00 9.95e-01f  1
  94r-1.0711783e+02 3.07e+06 1.00e+06   1.8 2.24e-01   6.7 1.00e+00 1.00e+00f  1
  95r-1.0711745e+02 3.07e+06 3.36e+05   1.8 2.25e-01   6.2 1.00e+00 1.00e+00f  1
  96r-1.0711785e+02 3.07e+06 8.93e+05   1.8 2.25e-01   6.6 2.98e-01 1.00e+00f  1
  97r-1.0711743e+02 3.07e+06 2.98e+05   1.8 2.24e-01   6.1 1.00e+00 1.00e+00f  1
  98r-1.0711778e+02 3.07e+06 9.92e+04   1.8 2.24e-01   5.6 9.96e-01 1.00e+00f  1
  99r-1.0711741e+02 3.07e+06 2.61e+05   1.8 2.23e-01   6.1 9.94e-01 9.84e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r-1.0711778e+02 3.07e+06 8.64e+04   1.8 2.19e-01   5.6 1.00e+00 1.00e+00f  1
 101r-1.0711729e+02 3.07e+06 2.96e+04   1.8 2.22e-01   5.1 1.00e+00 1.00e+00f  1
 102r-1.0711767e+02 3.07e+06 6.18e+05   1.8 2.21e-01   6.4 8.49e-01 1.00e+00f  1
 103r-1.0711729e+02 3.07e+06 2.06e+05   1.8 2.21e-01   6.0 1.00e+00 1.00e+00f  1
 104r-1.0711763e+02 3.07e+06 6.87e+04   1.8 2.21e-01   5.5 1.00e+00 1.00e+00f  1
 105r-1.0711718e+02 3.07e+06 2.31e+04   1.8 2.20e-01   5.0 1.00e+00 1.00e+00f  1
 106r-1.0711756e+02 3.07e+06 4.84e+05   1.8 2.19e-01   6.3 1.00e+00 1.00e+00f  1
 107r-1.0711718e+02 3.07e+06 1.61e+05   1.8 2.19e-01   5.9 1.00e+00 1.00e+00f  1
 108r-1.0711753e+02 3.07e+06 5.38e+04   1.8 2.19e-01   5.4 1.00e+00 1.00e+00f  1
 109r-1.0711708e+02 3.07e+06 1.81e+04   1.8 2.18e-01   4.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r-1.0711745e+02 3.07e+06 3.79e+05   1.8 2.17e-01   6.2 1.00e+00 1.00e+00f  1
 111r-1.0711707e+02 3.07e+06 1.26e+05   1.8 2.17e-01   5.8 1.00e+00 1.00e+00f  1
 112r-1.0711741e+02 3.07e+06 4.21e+04   1.8 2.16e-01   5.3 1.00e+00 1.00e+00f  1
 113r-1.0711696e+02 3.07e+06 1.42e+04   1.8 2.16e-01   4.8 1.00e+00 1.00e+00f  1
 114r-1.0711733e+02 3.07e+06 2.97e+05   1.8 2.15e-01   6.1 1.00e+00 1.00e+00f  1
 115r-1.0711695e+02 3.07e+06 9.89e+04   1.8 2.15e-01   5.7 1.00e+00 1.00e+00f  1
 116r-1.0711729e+02 3.07e+06 3.30e+04   1.8 2.14e-01   5.2 1.00e+00 1.00e+00f  1
 117r-1.0711691e+02 3.07e+06 8.75e+04   1.8 2.14e-01   5.6 1.00e+00 1.00e+00f  1
 118r-1.0711724e+02 3.07e+06 2.92e+04   1.8 2.13e-01   5.1 1.00e+00 1.00e+00f  1
 119r-1.0711677e+02 3.07e+06 9.91e+03   1.8 2.13e-01   4.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r-1.0711713e+02 3.07e+06 2.05e+05   1.8 2.12e-01   6.0 1.00e+00 1.00e+00f  1
 121r-1.0711675e+02 3.07e+06 6.85e+04   1.8 2.12e-01   5.5 1.00e+00 1.00e+00f  1
 122r-1.0711708e+02 3.07e+06 2.29e+04   1.8 2.11e-01   5.0 1.00e+00 1.00e+00f  1
 123r-1.0711659e+02 3.07e+06 7.80e+03   1.8 2.10e-01   4.6 1.00e+00 1.00e+00f  1
 124r-1.0711695e+02 3.07e+06 1.60e+05   1.8 2.10e-01   5.9 1.00e+00 1.00e+00f  1
 125r-1.0711657e+02 3.07e+06 5.36e+04   1.8 2.09e-01   5.4 1.00e+00 1.00e+00f  1
 126r-1.0711688e+02 3.07e+06 1.79e+04   1.8 2.09e-01   4.9 1.00e+00 1.00e+00f  1
 127r-1.0711651e+02 3.07e+06 3.77e+05   1.8 2.08e-01   6.3 1.00e+00 1.00e+00h  1
 128r-1.0711687e+02 3.07e+06 1.26e+05   1.8 2.08e-01   5.8 1.00e+00 1.00e+00f  1
 129r-1.0711649e+02 3.07e+06 4.20e+04   1.8 2.07e-01   5.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r-1.0711678e+02 3.07e+06 1.40e+04   1.8 2.07e-01   4.8 1.00e+00 1.00e+00f  1
 131r-1.0711623e+02 3.07e+06 4.85e+03   1.8 2.06e-01   4.3 1.00e+00 1.00e+00f  1
 132r-1.0711658e+02 3.07e+06 9.78e+04   1.8 2.05e-01   5.7 1.00e+00 1.00e+00f  1
 133r-1.0711620e+02 3.07e+06 3.28e+04   1.8 2.04e-01   5.2 1.00e+00 1.00e+00f  1
 134r-1.0711647e+02 3.07e+06 1.10e+04   1.8 2.04e-01   4.7 1.00e+00 1.00e+00f  1
 135r-1.0711587e+02 3.07e+06 3.83e+03   1.8 2.02e-01   4.2 1.00e+00 1.00e+00f  1
 136r-1.0711623e+02 3.07e+06 7.60e+04   1.1 2.01e-01   5.6 8.31e-01 1.00e+00f  1
 137r-1.0711588e+02 3.07e+06 2.53e+04   1.1 2.01e-01   5.1 1.00e+00 1.00e+00f  1
 138r-1.0711621e+02 3.07e+06 8.43e+03   1.1 2.00e-01   4.6 1.00e+00 1.00e+00f  1
 139r-1.0711597e+02 3.07e+06 5.67e+03  -0.5 2.00e-01   4.1 1.00e+00 5.05e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r-1.0711598e+02 3.07e+06 3.62e+04   0.9 2.43e-01   5.5 1.00e+00 3.41e-02f  1
 141r-1.0711582e+02 3.07e+06 4.40e+05   0.7 3.56e-01   5.0 1.00e+00 1.00e+00f  1
 142r-1.0711586e+02 3.07e+06 1.94e+05   0.5 5.56e-01   4.5 6.88e-01 1.00e+00f  1
 143r-1.0711586e+02 3.07e+06 1.97e+05   1.3 2.02e-01   7.7 1.00e+00 7.61e-03h  1
 144r-1.0711574e+02 3.07e+06 7.50e+05   1.2 2.00e-01   7.2 7.52e-01 2.30e-01f  1
 145r-1.0711591e+02 3.07e+06 5.71e+06   1.2 3.98e-01   6.7 3.22e-01 4.22e-01f  1
 146r-1.0711384e+02 3.07e+06 1.60e+06   2.3 1.96e-01   6.2 1.00e+00 1.00e+00f  1
 147r-1.0711415e+02 3.07e+06 7.18e+06   2.6 2.01e-01   7.6 6.91e-01 1.00e+00f  1
 148r-1.0711386e+02 3.07e+06 2.25e+06   2.6 2.01e-01   7.1 1.00e+00 1.00e+00f  1
 149r-1.0711419e+02 3.07e+06 7.96e+05   2.6 2.00e-01   6.6 9.61e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r-1.0711391e+02 3.07e+06 2.11e+06   2.6 2.00e-01   7.0 1.00e+00 1.00e+00f  1
 151r-1.0711423e+02 3.07e+06 7.05e+05   2.6 1.99e-01   6.5 1.00e+00 1.00e+00f  1
 152r-1.0711396e+02 3.07e+06 1.87e+06   2.6 1.99e-01   7.0 1.00e+00 1.00e+00f  1
 153r-1.0711427e+02 3.07e+06 6.24e+05   2.6 1.98e-01   6.5 1.00e+00 1.00e+00f  1
 154r-1.0711399e+02 3.07e+06 1.66e+06   2.6 1.98e-01   6.9 1.00e+00 1.00e+00f  1
 155r-1.0711430e+02 3.07e+06 5.52e+05   2.6 1.97e-01   6.4 1.00e+00 1.00e+00f  1
 156r-1.0711403e+02 3.07e+06 1.46e+06   2.6 1.97e-01   6.9 1.00e+00 1.00e+00f  1
 157r-1.0711433e+02 3.07e+06 4.89e+05   2.6 1.97e-01   6.4 1.00e+00 1.00e+00f  1
 158r-1.0711409e+02 3.07e+06 1.63e+05   2.6 1.96e-01   5.9 1.00e+00 1.00e+00f  1
 159r-1.0711438e+02 3.07e+06 4.32e+05   1.9 1.96e-01   6.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r-1.0711411e+02 3.07e+06 1.43e+05   1.9 1.95e-01   5.9 1.00e+00 1.00e+00f  1
 161r-1.0711442e+02 3.07e+06 4.79e+04   1.9 1.95e-01   5.4 1.00e+00 1.00e+00f  1
 162r-1.0711414e+02 3.07e+06 1.27e+05   1.9 1.94e-01   5.8 1.00e+00 1.00e+00f  1
 163r-1.0711445e+02 3.07e+06 4.24e+04   1.9 1.94e-01   5.3 1.00e+00 1.00e+00f  1
 164r-1.0711423e+02 3.07e+06 1.42e+04   1.9 1.93e-01   4.9 1.00e+00 1.00e+00f  1
 165r-1.0711452e+02 3.07e+06 2.98e+05   1.9 1.93e-01   6.2 1.00e+00 1.00e+00f  1
 166r-1.0711424e+02 3.07e+06 9.92e+04   1.9 1.92e-01   5.7 1.00e+00 1.00e+00f  1
 167r-1.0711454e+02 3.07e+06 3.32e+04   1.9 1.92e-01   5.2 1.00e+00 1.00e+00f  1
 168r-1.0711430e+02 3.07e+06 1.11e+04   1.9 1.91e-01   4.8 1.00e+00 1.00e+00f  1
 169r-1.0711458e+02 3.07e+06 2.33e+05   1.9 1.90e-01   6.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r-1.0711431e+02 3.07e+06 7.75e+04   1.9 1.90e-01   5.6 1.00e+00 1.00e+00f  1
 171r-1.0711459e+02 3.07e+06 2.60e+04   1.9 1.90e-01   5.1 1.00e+00 1.00e+00f  1
 172r-1.0711434e+02 3.07e+06 8.69e+03   1.9 1.89e-01   4.7 1.00e+00 1.00e+00f  1
 173r-1.0711461e+02 3.07e+06 1.82e+05   1.9 1.88e-01   6.0 1.00e+00 1.00e+00f  1
 174r-1.0711434e+02 3.07e+06 6.05e+04   1.9 1.88e-01   5.5 1.00e+00 1.00e+00f  1
 175r-1.0711460e+02 3.07e+06 2.03e+04   1.9 1.87e-01   5.0 1.00e+00 1.00e+00f  1
 176r-1.0711432e+02 3.07e+06 6.81e+03   1.9 1.86e-01   4.6 1.00e+00 1.00e+00f  1
 177r-1.0711459e+02 3.07e+06 1.42e+05   1.9 1.86e-01   5.9 1.00e+00 1.00e+00f  1
 178r-1.0711431e+02 3.07e+06 4.72e+04   1.9 1.85e-01   5.4 1.00e+00 1.00e+00f  1
 179r-1.0711455e+02 3.07e+06 1.59e+04   1.9 1.85e-01   4.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r-1.0711421e+02 3.07e+06 5.33e+03   1.9 1.84e-01   4.5 1.00e+00 1.00e+00f  1
 181r-1.0711448e+02 3.07e+06 1.10e+05   1.2 1.83e-01   5.8 1.00e+00 1.00e+00f  1
