
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.8, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     7513
Number of nonzeros in inequality constraint Jacobian.:      300
Number of nonzeros in Lagrangian Hessian.............:     5300

Total number of variables............................:     1708
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1413
Total number of inequality constraints...............:      100
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.4432449e+02 1.03e+07 2.00e+08   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.4934866e+02 4.91e+08 2.23e+17   4.0 4.20e+06   6.0 1.00e+00 1.32e-01h  1
   2 -2.4937597e+02 4.91e+08 5.42e+18   6.0 3.86e+06  11.8 1.63e-02 5.63e-04h  1
   3 -2.5751324e+02 6.66e+08 1.74e+23   6.0 4.26e+06  13.2 1.00e+00 2.89e-01f  1
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 1
  Increasing icntl[13] from 1000 to 2000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 2
  Increasing icntl[13] from 2000 to 4000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 3
  Increasing icntl[13] from 4000 to 8000.
WARNING: Problem in step computation; switching to emergency mode.
 387r-1.0710291e+02 3.07e+06 1.11e+04   1.2 1.03e-01   5.0 1.00e+00 1.00e+00f  1
 388r-1.0710285e+02 3.07e+06 2.34e+05   1.2 1.03e-01   6.4 1.00e+00 1.00e+00h  1
 389r-1.0710289e+02 3.07e+06 7.79e+04   1.2 1.03e-01   5.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390r-1.0710281e+02 3.07e+06 2.59e+04   1.2 1.03e-01   5.4 1.00e+00 1.00e+00f  1
 391r-1.0710275e+02 3.07e+06 8.74e+03   1.2 1.02e-01   4.9 1.00e+00 1.00e+00f  1
 392r-1.0710270e+02 3.07e+06 1.83e+05   1.2 1.02e-01   6.3 1.00e+00 1.00e+00h  1
 393r-1.0710273e+02 3.07e+06 6.10e+04   1.2 1.02e-01   5.8 1.00e+00 1.00e+00f  1
 394r-1.0710264e+02 3.07e+06 2.03e+04   1.2 1.02e-01   5.3 1.00e+00 1.00e+00f  1
 395r-1.0710268e+02 3.07e+06 4.31e+05   1.2 1.01e-01   6.6 1.00e+00 1.00e+00f  1
 396r-1.0710263e+02 3.07e+06 1.43e+05   1.2 1.01e-01   6.2 1.00e+00 1.00e+00f  1
 397r-1.0710265e+02 3.07e+06 4.78e+04   1.2 1.01e-01   5.7 1.00e+00 1.00e+00f  1
 398r-1.0710256e+02 3.07e+06 1.59e+04   1.2 1.01e-01   5.2 1.00e+00 1.00e+00f  1
 399r-1.0710243e+02 3.07e+06 5.40e+03   1.2 1.00e-01   4.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400r-1.0710237e+02 3.07e+06 1.12e+05   1.2 1.00e-01   6.0 1.00e+00 1.00e+00f  1
 401r-1.0710240e+02 3.07e+06 3.74e+04   1.2 9.98e-02   5.6 1.00e+00 1.00e+00f  1
 402r-1.0710228e+02 3.07e+06 1.24e+04   1.2 9.96e-02   5.1 1.00e+00 1.00e+00f  1
 403r-1.0710211e+02 3.07e+06 4.25e+03   1.2 9.91e-02   4.6 1.00e+00 1.00e+00f  1
 404r-1.0710205e+02 3.07e+06 8.73e+04   1.2 9.87e-02   5.9 1.00e+00 1.00e+00f  1
 405r-1.0710207e+02 3.07e+06 2.92e+04   1.2 9.85e-02   5.5 1.00e+00 1.00e+00f  1
 406r-1.0710194e+02 3.07e+06 9.71e+03   1.2 9.82e-02   5.0 1.00e+00 1.00e+00f  1
 407r-1.0710170e+02 3.07e+06 3.47e+03   1.2 9.75e-02   4.5 1.00e+00 1.00e+00f  1
 408r-1.0710165e+02 3.07e+06 6.78e+04   1.2 9.69e-02   5.8 1.00e+00 1.00e+00f  1
 409r-1.0710165e+02 3.07e+06 2.27e+04   1.2 9.67e-02   5.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410r-1.0710150e+02 3.07e+06 7.53e+03   1.2 9.63e-02   4.9 1.00e+00 1.00e+00f  1
 411r-1.0710119e+02 3.07e+06 3.63e+03   1.2 9.53e-02   4.4 1.00e+00 1.00e+00f  1
 412r-1.0710114e+02 3.07e+06 5.22e+04   1.2 9.44e-02   5.7 1.00e+00 1.00e+00f  1
 413r-1.0710112e+02 3.07e+06 1.75e+04   1.2 9.41e-02   5.3 1.00e+00 1.00e+00f  1
 414r-1.0710095e+02 3.07e+06 5.80e+03   1.2 9.36e-02   4.8 1.00e+00 1.00e+00f  1
 415r-1.0710054e+02 3.07e+06 3.48e+03   1.2 9.22e-02   4.3 1.00e+00 9.93e-01f  1
 416r-1.0710049e+02 3.07e+06 3.95e+04   1.2 9.04e-02   5.6 1.00e+00 1.00e+00f  1
 417r-1.0710046e+02 3.07e+06 1.33e+04   1.2 9.07e-02   5.2 1.00e+00 1.00e+00f  1
 418r-1.0710026e+02 3.07e+06 4.56e+03   1.2 9.01e-02   4.7 1.00e+00 1.00e+00f  1
 419r-1.0710026e+02 3.07e+06 9.27e+04   1.2 8.95e-02   6.0 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420r-1.0710023e+02 3.07e+06 3.08e+04   1.2 8.93e-02   5.5 1.00e+00 1.00e+00f  1
 421r-1.0710016e+02 3.07e+06 1.03e+04   1.2 8.89e-02   5.1 1.00e+00 1.00e+00f  1
 422r-1.0710000e+02 3.07e+06 3.45e+03  -0.5 8.84e-02   4.6 1.00e+00 1.00e+00f  1
 423r-1.0709962e+02 3.07e+06 2.13e+03  -0.7 9.61e-02   4.1 1.00e+00 5.75e-01f  1
 424r-1.0709847e+02 3.07e+06 1.22e+03   0.1 2.90e-01   3.6 1.00e+00 5.35e-01f  1
 425r-1.0709822e+02 3.07e+06 1.22e+03  -0.0 8.71e-01   3.2 1.00e+00 4.05e-02f  1
 426r-1.0709445e+02 3.07e+06 1.22e+03   0.8 2.61e+00   2.7 9.93e-01 2.00e-01f  1
 427r-1.0709381e+02 3.07e+06 1.21e+03   0.5 9.78e-01   3.1 9.98e-01 9.18e-02f  1
 428r-1.0709158e+02 3.07e+06 1.17e+03   1.3 2.92e+00   2.6 3.50e-01 1.05e-01f  1
 429r-1.0708804e+02 3.07e+06 1.55e+03   0.8 7.37e+00   2.1 6.64e-01 5.69e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430r-1.0707202e+02 3.07e+06 1.12e+03  -5.2 2.19e+01   1.7 9.91e-02 8.61e-02f  1
 431r-1.0706132e+02 3.07e+06 1.97e+03   0.6 8.24e+00   2.1 3.94e-01 1.52e-01f  1
 432r-1.0706089e+02 3.07e+06 2.08e+03  -0.1 3.85e-01   3.4 1.00e+00 1.34e-01f  1
 433r-1.0705264e+02 3.07e+06 2.24e+03   0.8 1.16e+00   2.9 1.00e+00 8.72e-01f  1
 434r-1.0705264e+02 3.07e+06 2.89e+04   0.5 2.81e-03   7.0 9.99e-01 1.00e+00f  1
 435r-1.0705264e+02 3.07e+06 7.97e+03  -0.3 1.66e-03   6.5 1.00e+00 1.00e+00f  1
 436r-1.0705264e+02 3.07e+06 2.52e+03  -2.1 1.65e-03   6.0 1.00e+00 1.00e+00f  1
 437r-1.0705264e+02 3.07e+06 1.68e+03  -3.2 3.30e-03   5.6 1.00e+00 4.14e-01f  1
 438r-1.0705264e+02 3.07e+06 1.46e+03  -0.9 9.00e-03   5.1 1.00e+00 1.28e-01f  1
 439r-1.0705262e+02 3.07e+06 1.19e+03  -1.6 2.57e-02   4.6 1.00e+00 1.10e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440r-1.0705254e+02 3.07e+06 1.48e+03  -1.5 7.72e-02   4.1 1.00e+00 1.38e-01f  1
 441r-1.0705222e+02 3.07e+06 1.19e+03  -1.4 2.32e-01   3.6 1.00e+00 1.70e-01f  1
 442r-1.0705169e+02 3.07e+06 1.09e+03  -1.3 6.95e-01   3.2 1.00e+00 9.44e-02f  1
 443r-1.0705062e+02 3.07e+06 1.29e+03  -0.8 2.08e+00   2.7 1.00e+00 6.25e-02f  1
 444r-1.0704804e+02 3.07e+06 1.47e+03  -0.7 7.82e-01   3.1 1.00e+00 4.06e-01f  1
 445r-1.0704804e+02 3.07e+06 7.51e+04   0.2 1.15e-03   8.1 1.00e+00 3.53e-01f  1
 446r-1.0704803e+02 3.07e+06 7.58e+04   0.8 9.23e-04   7.6 8.98e-01 1.00e+00f  1
 447r-1.0704803e+02 3.07e+06 1.64e+05   0.7 1.67e-03   8.0 4.58e-01 5.08e-01f  1
 448r-1.0704803e+02 3.07e+06 5.66e+04   0.6 8.50e-04   7.5 1.00e+00 1.00e+00f  1
 449r-1.0704803e+02 3.07e+06 3.85e+04   0.5 1.67e-03   7.1 7.58e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 450r-1.0704803e+02 3.07e+06 1.48e+04   0.5 1.67e-03   6.6 1.00e+00 1.00e+00f  1
 451r-1.0704801e+02 3.07e+06 7.57e+03   0.5 1.92e-03   6.1 1.00e+00 1.00e+00f  1
 452r-1.0704801e+02 3.07e+06 1.26e+04   0.5 1.67e-03   6.5 1.00e+00 1.00e+00f  1
 453r-1.0704800e+02 3.07e+06 4.88e+03   0.5 1.67e-03   6.0 1.00e+00 1.00e+00f  1
 454r-1.0704798e+02 3.07e+06 3.36e+03   0.5 2.75e-03   5.6 1.00e+00 1.00e+00f  1
 455r-1.0704797e+02 3.07e+06 4.63e+03   0.5 1.85e-03   6.0 1.00e+00 1.00e+00f  1
 456r-1.0704794e+02 3.07e+06 2.98e+03   0.5 3.09e-03   5.5 1.00e+00 1.00e+00f  1
 457r-1.0704793e+02 3.07e+06 3.92e+03   0.5 1.68e-03   5.9 1.00e+00 1.00e+00f  1
 458r-1.0704790e+02 3.07e+06 2.88e+03   0.5 3.48e-03   5.5 1.00e+00 1.00e+00f  1
 459r-1.0704789e+02 3.07e+06 3.20e+03   0.5 1.68e-03   5.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 460r-1.0704786e+02 3.07e+06 2.79e+03   0.5 3.91e-03   5.4 1.00e+00 1.00e+00f  1
 461r-1.0704785e+02 3.07e+06 2.65e+03   0.5 1.68e-03   5.8 1.00e+00 1.00e+00f  1
 462r-1.0704781e+02 3.07e+06 2.67e+03   0.5 4.40e-03   5.4 1.00e+00 1.00e+00f  1
 463r-1.0704770e+02 3.07e+06 1.12e+03   0.5 1.32e-02   4.9 1.00e+00 1.00e+00f  1
 464r-1.0704769e+02 3.07e+06 7.24e+03   0.5 2.24e-03   6.2 1.00e+00 1.00e+00h  1
 465r-1.0704768e+02 3.07e+06 1.60e+03   0.5 1.86e-03   5.7 1.00e+00 1.00e+00f  1
 466r-1.0704763e+02 3.07e+06 2.15e+03   0.5 5.56e-03   5.3 1.00e+00 1.00e+00f  1
 467r-1.0704750e+02 3.07e+06 1.29e+03   0.5 1.67e-02   4.8 1.00e+00 1.00e+00f  1
 468r-1.0704749e+02 3.07e+06 7.02e+03   0.5 2.11e-03   6.1 1.00e+00 1.00e+00h  1
 469r-1.0704747e+02 3.07e+06 1.75e+03   0.5 2.35e-03   5.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 470r-1.0704741e+02 3.07e+06 1.61e+03   0.5 7.04e-03   5.2 1.00e+00 1.00e+00f  1
 471r-1.0704724e+02 3.07e+06 1.41e+03   0.5 2.11e-02   4.7 1.00e+00 1.00e+00f  1
 472r-1.0704717e+02 3.07e+06 1.67e+03   0.5 7.92e-03   5.1 1.00e+00 1.00e+00f  1
 473r-1.0704698e+02 3.07e+06 1.46e+03   0.5 2.38e-02   4.6 1.00e+00 1.00e+00f  1
 474r-1.0704691e+02 3.07e+06 1.55e+03   0.5 8.91e-03   5.1 1.00e+00 1.00e+00f  1
 475r-1.0704669e+02 3.07e+06 1.46e+03   0.5 2.67e-02   4.6 1.00e+00 1.00e+00f  1
 476r-1.0704603e+02 3.07e+06 1.14e+03   0.5 8.02e-02   4.1 1.00e+00 1.00e+00f  1
 477r-1.0704584e+02 3.07e+06 1.24e+03  -1.0 3.00e-02   4.5 1.00e+00 8.43e-01f  1
 478r-1.0704527e+02 3.07e+06 1.26e+03  -0.4 9.04e-02   4.1 1.00e+00 7.82e-01f  1
 479r-1.0704306e+02 3.07e+06 1.67e+03  -0.0 2.71e-01   3.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 480r-1.0704242e+02 3.07e+06 1.02e+03  -1.0 1.02e-01   4.0 1.00e+00 7.80e-01f  1
 481r-1.0704238e+02 3.07e+06 3.58e+03  -0.4 4.77e-03   5.3 1.00e+00 1.00e+00f  1
 482r-1.0704233e+02 3.07e+06 1.91e+03  -0.8 1.43e-02   4.9 1.00e+00 3.97e-01f  1
 483r-1.0704204e+02 3.07e+06 1.81e+03  -1.6 4.29e-02   4.4 1.00e+00 8.61e-01f  1
 484r-1.0704190e+02 3.07e+06 1.46e+03  -0.2 1.61e-02   4.8 8.61e-01 1.00e+00f  1
 485r-1.0704187e+02 3.07e+06 1.38e+03  -0.3 1.23e-02   5.2 1.00e+00 6.64e-01f  1
 486r-1.0704177e+02 3.07e+06 1.75e+03  -0.3 1.81e-02   4.8 1.00e+00 6.96e-01f  1
 487r-1.0704133e+02 3.07e+06 1.79e+03  -0.3 5.43e-02   4.3 1.00e+00 1.00e+00f  1
 488r-1.0704132e+02 3.07e+06 1.15e+04  -0.1 1.74e-03   6.5 1.00e+00 1.00e+00f  1
 489r-1.0704132e+02 3.07e+06 5.75e+03  -1.5 1.53e-03   6.0 1.00e+00 5.02e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 490r-1.0704130e+02 3.07e+06 3.20e+03  -1.2 2.86e-03   5.6 1.00e+00 7.34e-01f  1
 491r-1.0704128e+02 3.07e+06 2.12e+03  -2.0 8.59e-03   5.1 1.00e+00 3.67e-01f  1
 492r-1.0704120e+02 3.07e+06 1.79e+03  -2.9 2.58e-02   4.6 1.00e+00 3.99e-01f  1
 493r-1.0704106e+02 3.07e+06 1.37e+03  -2.0 7.74e-02   4.1 1.00e+00 2.15e-01f  1
 494r-1.0704084e+02 3.07e+06 1.79e+03  -2.5 2.32e-01   3.6 1.00e+00 1.20e-01f  1
 495r-1.0704037e+02 3.07e+06 1.57e+03  -3.2 6.96e-01   3.2 1.00e+00 8.29e-02f  1
 496r-1.0703870e+02 3.07e+06 1.70e+03   0.1 2.09e+00   2.7 3.01e-01 9.66e-02f  1
 497r-1.0703785e+02 3.07e+06 1.52e+03  -0.8 7.82e-01   3.1 9.45e-01 1.34e-01f  1
 498r-1.0703395e+02 3.07e+06 1.75e+03   0.5 2.35e+00   2.6 1.61e-01 2.02e-01f  1
 499r-1.0703373e+02 3.07e+06 1.69e+03  -6.1 8.79e-01   3.1 2.74e-01 3.16e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 500r-1.0703301e+02 3.07e+06 2.38e+03   0.2 2.64e+00   2.6 5.17e-01 3.31e-02f  1
 501r-1.0703235e+02 3.07e+06 2.18e+03  -0.9 9.90e-01   3.0 8.72e-01 8.22e-02f  1
 502r-1.0702493e+02 3.07e+06 1.88e+03   0.9 2.97e+00   2.5 2.44e-01 3.03e-01f  1
 503r-1.0702492e+02 3.07e+06 1.93e+04   1.0 5.00e-03   6.6 1.00e+00 1.00e+00f  1
 504r-1.0702492e+02 3.07e+06 3.70e+05   0.9 2.81e-03   7.9 1.00e+00 1.00e+00f  1
 505r-1.0702492e+02 3.07e+06 8.06e+04   0.9 1.77e-03   7.4 1.00e+00 1.00e+00f  1
 506r-1.0702492e+02 3.07e+06 3.20e+04   0.9 1.77e-03   7.0 1.00e+00 1.00e+00f  1
 507r-1.0702491e+02 3.07e+06 1.06e+04   0.9 1.76e-03   6.5 1.00e+00 1.00e+00f  1
 508r-1.0702491e+02 3.07e+06 1.99e+05   0.9 1.75e-03   7.8 1.00e+00 1.00e+00f  1
 509r-1.0702491e+02 3.07e+06 6.17e+04   0.9 1.74e-03   7.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 510r-1.0702491e+02 3.07e+06 2.53e+04   0.9 1.74e-03   6.8 1.00e+00 1.00e+00f  1
 511r-1.0702490e+02 3.07e+06 8.59e+03   0.9 1.73e-03   6.4 1.00e+00 1.00e+00f  1
 512r-1.0702490e+02 3.07e+06 2.26e+04   0.9 1.73e-03   6.8 1.00e+00 1.00e+00f  1
 513r-1.0702489e+02 3.07e+06 7.66e+03   0.9 1.74e-03   6.3 1.00e+00 1.00e+00f  1
 514r-1.0702488e+02 3.07e+06 4.93e+03   0.9 1.77e-03   5.8 1.00e+00 1.00e+00f  1
 515r-1.0702487e+02 3.07e+06 6.86e+03   0.9 1.78e-03   6.3 1.00e+00 1.00e+00f  1
 516r-1.0702485e+02 3.07e+06 4.34e+03   0.9 1.78e-03   5.8 1.00e+00 1.00e+00f  1
 517r-1.0702485e+02 3.07e+06 6.48e+03   0.9 1.76e-03   6.2 1.00e+00 1.00e+00f  1
 518r-1.0702483e+02 3.07e+06 3.94e+03   0.9 1.86e-03   5.7 1.00e+00 1.00e+00f  1
 519r-1.0702482e+02 3.07e+06 6.02e+03   0.9 1.75e-03   6.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 520r-1.0702480e+02 3.07e+06 3.64e+03   0.9 2.09e-03   5.7 1.00e+00 1.00e+00f  1
 521r-1.0702480e+02 3.07e+06 5.22e+03   0.9 1.73e-03   6.1 1.00e+00 1.00e+00f  1
 522r-1.0702478e+02 3.07e+06 3.41e+03   0.9 2.35e-03   5.6 1.00e+00 1.00e+00f  1
 523r-1.0702477e+02 3.07e+06 4.55e+03   0.9 1.72e-03   6.1 1.00e+00 1.00e+00f  1
 524r-1.0702475e+02 3.07e+06 3.21e+03   0.9 2.64e-03   5.6 1.00e+00 1.00e+00f  1
 525r-1.0702474e+02 3.07e+06 4.35e+03   0.9 1.71e-03   6.0 1.00e+00 1.00e+00f  1
 526r-1.0702471e+02 3.07e+06 3.04e+03   0.9 2.97e-03   5.5 1.00e+00 1.00e+00f  1
 527r-1.0702470e+02 3.07e+06 4.29e+03   0.9 1.71e-03   6.0 1.00e+00 1.00e+00f  1
 528r-1.0702467e+02 3.07e+06 2.88e+03   0.9 3.34e-03   5.5 1.00e+00 1.00e+00f  1
 529r-1.0702459e+02 3.07e+06 1.44e+03   0.9 1.00e-02   5.0 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 530r-1.0702459e+02 3.07e+06 1.09e+04   0.9 2.25e-03   6.3 1.00e+00 1.00e+00h  1
 531r-1.0702458e+02 3.07e+06 2.19e+03   0.9 1.57e-03   5.9 1.00e+00 1.00e+00f  1
 532r-1.0702454e+02 3.07e+06 2.53e+03   0.9 4.23e-03   5.4 1.00e+00 1.00e+00f  1
 533r-1.0702444e+02 3.07e+06 1.14e+03   0.9 1.27e-02   4.9 1.00e+00 1.00e+00f  1
 534r-1.0702443e+02 3.07e+06 7.08e+03   0.9 1.97e-03   6.2 1.00e+00 1.00e+00h  1
 535r-1.0702442e+02 3.07e+06 1.64e+03   0.9 1.79e-03   5.8 1.00e+00 1.00e+00f  1
 536r-1.0702437e+02 3.07e+06 1.91e+03   0.9 5.36e-03   5.3 1.00e+00 1.00e+00f  1
 537r-1.0702424e+02 3.07e+06 1.25e+03   0.9 1.61e-02   4.8 1.00e+00 1.00e+00f  1
 538r-1.0702423e+02 3.07e+06 5.95e+03   0.9 2.07e-03   6.1 1.00e+00 1.00e+00h  1
 539r-1.0702422e+02 3.07e+06 1.67e+03   0.9 2.26e-03   5.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 540r-1.0702416e+02 3.07e+06 1.31e+03   0.9 6.78e-03   5.2 1.00e+00 1.00e+00f  1
 541r-1.0702399e+02 3.07e+06 1.32e+03   0.9 2.03e-02   4.7 1.00e+00 1.00e+00f  1
 542r-1.0702398e+02 3.07e+06 4.91e+03   0.9 2.33e-03   6.0 1.00e+00 1.00e+00f  1
 543r-1.0702396e+02 3.07e+06 1.78e+03   0.9 2.86e-03   5.6 1.00e+00 1.00e+00f  1
 544r-1.0702389e+02 3.07e+06 1.07e+03   0.9 8.58e-03   5.1 1.00e+00 1.00e+00f  1
 545r-1.0702368e+02 3.07e+06 1.35e+03   0.9 2.57e-02   4.6 1.00e+00 1.00e+00f  1
 546r-1.0702367e+02 3.07e+06 4.22e+03   0.9 2.89e-03   5.9 1.00e+00 1.00e+00f  1
 547r-1.0702364e+02 3.07e+06 1.86e+03   0.9 3.62e-03   5.4 1.00e+00 1.00e+00f  1
 548r-1.0702355e+02 3.07e+06 1.07e+03   0.9 1.09e-02   5.0 1.00e+00 1.00e+00f  1
 549r-1.0702328e+02 3.07e+06 1.36e+03   0.9 3.26e-02   4.5 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 550r-1.0702327e+02 3.07e+06 3.98e+03   0.9 3.80e-03   5.8 1.00e+00 1.00e+00f  1
 551r-1.0702323e+02 3.07e+06 1.90e+03   0.9 4.58e-03   5.3 1.00e+00 1.00e+00f  1
 552r-1.0702312e+02 3.07e+06 1.08e+03   0.9 1.37e-02   4.9 1.00e+00 1.00e+00f  1
 553r-1.0702278e+02 3.07e+06 1.36e+03   0.9 4.12e-02   4.4 1.00e+00 1.00e+00f  1
 554r-1.0702277e+02 3.07e+06 4.42e+03  -0.3 5.53e-03   5.7 1.00e+00 1.00e+00f  1
 555r-1.0702277e+02 3.07e+06 1.00e+03  -2.0 5.71e-03   5.2 1.00e+00 7.49e-01f  1
 556r-1.0702275e+02 3.07e+06 1.01e+03  -2.3 1.74e-02   4.8 1.00e+00 1.90e-01f  1
 557r-1.0702265e+02 3.07e+06 1.80e+03  -1.7 5.24e-02   4.3 1.00e+00 2.35e-01f  1
 558r-1.0702245e+02 3.07e+06 1.40e+03  -1.3 1.57e-01   3.8 1.00e+00 1.53e-01f  1
 559r-1.0702203e+02 3.07e+06 1.58e+03  -1.2 4.72e-01   3.3 1.00e+00 1.09e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 560r-1.0701923e+02 3.07e+06 1.68e+03   0.5 1.41e+00   2.9 6.05e-01 2.39e-01f  1
 561r-1.0701414e+02 3.07e+06 1.07e+03   0.7 4.23e+00   2.4 4.01e-01 1.46e-01f  1
 562r-1.0701156e+02 3.07e+06 1.59e+03   0.0 1.59e+00   2.8 1.00e+00 1.98e-01f  1
 563r-1.0700245e+02 3.07e+06 1.17e+03   0.8 4.77e+00   2.3 8.26e-01 2.31e-01f  1
 564r-1.0699004e+02 3.07e+06 1.33e+03   0.5 1.43e+01   1.9 4.93e-01 1.06e-01f  1
 565r-1.0698714e+02 3.07e+06 1.33e+03   0.8 5.36e+00   2.3 1.00e+00 6.57e-02f  1
 566r-1.0696723e+02 3.07e+06 1.37e+03   1.1 1.60e+01   1.8 6.53e-01 1.51e-01f  1
 567r-1.0694481e+02 3.07e+06 1.30e+03   1.7 4.81e+01   1.3 1.69e-01 5.58e-02f  1
 568r-1.0688403e+02 3.07e+06 1.24e+03   1.6 1.44e+02   0.8 1.96e-01 5.19e-02f  1
 569r-1.0675810e+02 3.07e+06 1.28e+03   1.1 4.26e+02   0.4 5.72e-01 3.73e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 570r-1.0665706e+02 3.07e+06 1.38e+03  -4.9 5.98e+02  -0.1 3.00e-02 1.32e-02f  1
 571r-1.0663926e+02 3.07e+06 1.24e+03   1.4 2.97e+01   1.2 1.00e+00 4.17e-02f  1
 572r-1.0625177e+02 3.07e+06 1.42e+03   1.8 8.72e+01   0.7 4.58e-01 3.16e-01f  1
 573r-1.0625193e+02 3.07e+06 7.62e+06   1.0 2.09e-02   8.6 9.96e-01 9.36e-01h  1
 574r-1.0625193e+02 3.07e+06 6.76e+06  -0.2 2.58e-03   9.0 1.00e+00 1.40e-01h  1
 575r-1.0625194e+02 3.07e+06 6.41e+06  -1.7 2.22e-03   8.5 1.00e+00 5.53e-02f  1
 576r-1.0625195e+02 3.07e+06 3.94e+05  -3.1 2.10e-03   8.1 1.00e+00 1.00e+00f  1
 577r-1.0625195e+02 3.07e+06 1.03e+05  -3.7 1.49e-03   7.6 1.00e+00 1.00e+00f  1
 578r-1.0625195e+02 3.07e+06 3.41e+04  -5.1 1.49e-03   7.1 1.00e+00 1.00e+00f  1
 579r-1.0625195e+02 3.07e+06 1.13e+04  -6.3 1.48e-03   6.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 580r-1.0625195e+02 3.07e+06 3.76e+03  -8.1 1.48e-03   6.2 1.00e+00 1.00e+00f  1
 581r-1.0625195e+02 3.07e+06 3.51e+03  -5.7 2.76e-03   5.7 1.00e+00 8.09e-02f  1
 582r-1.0625195e+02 3.07e+06 3.51e+03  -4.5 7.49e-03   5.2 1.00e+00 6.12e-04f  1
 583r-1.0625198e+02 3.07e+06 3.02e+03  -6.4 2.33e-02   4.7 1.00e+00 1.43e-01f  1
 584r-1.0625198e+02 3.07e+06 3.02e+03  -6.9 6.95e-02   4.2 1.00e+00 5.40e-04f  1
 585r-1.0625198e+02 3.07e+06 3.00e+03  -6.3 1.90e-01   3.8 1.00e+00 8.14e-03f  1
 586r-1.0625196e+02 3.07e+06 2.89e+03  -5.2 7.24e-02   4.2 1.00e+00 3.47e-02f  1
 587r-1.0625193e+02 3.07e+06 2.82e+03  -4.6 2.17e-01   3.7 1.00e+00 2.54e-02f  1
 588r-1.0625191e+02 3.07e+06 2.67e+03  -3.7 8.44e-02   4.1 1.00e+00 5.40e-02f  1
 589r-1.0625186e+02 3.07e+06 2.59e+03  -3.3 2.25e-01   3.7 1.00e+00 3.09e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 590r-1.0625176e+02 3.07e+06 2.53e+03  -1.2 4.52e-01   3.2 1.00e+00 2.22e-02f  1
