 # Free tf, opti t0 return transfer to EM-L2, from intersection free tf file
 # input file = Asteroid_Return_Intersection_d001_free_tf_t0Drift_50N.dat
 # Tmax, Isp =   5.0000000000000000e+01   3.7500000000000000e+02
 # qf =   1.1556819508396090e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
 # Structure : No t0_abs(d) q0_CR3BP m0 (kg) thetaSun |S| t0Drift(d) z_sol(1:12) mf
 # Data
		   -1.4915000000000081e+01  -1.4515403400762370e+01  -3.6237458345635282e+03  -1.5301837965539340e+02  -3.0050946451616949e+00   2.9995521962389011e+00
		  -9.7659108188298993e-01  -1.5852191769951800e+00   5.5978333938332897e-03   1.3868687320858399e+00  -1.2127744253579420e+00   9.7420236324455525e-02  -1.1303431940609400e-04   4.2063154560677758e+04
8   3.5065310485620071e+03   4.9168272192179086e-01  -3.8599020347405819e+00   7.0143450781851913e-02  -4.2186113015959661e+00   1.0526746559364923e+00   1.2597078188043426e-03   9.9999994429729530e+04
		   4.1688804590474788e+00   3.2645460972138781e-13
		   -1.0477499999999891e+01  -7.1227013732439186e+00  -1.1832032030299381e+03  -1.9255845015214520e+04  -4.6270575943700019e+00   1.3847947125901261e+00
		  -1.9163145603835450e+00  -5.0292431552840284e+00  -8.7020630735629677e-03   4.4246775225313586e+00  -2.8524742943640282e+00  -5.9997709503558830e-02  -1.5698092383473051e-04   5.2145964655987307e+04
9   2.3749010877651440e+03   7.3050704948221568e-01   3.8224896081398572e+00   2.1174679790640250e-02   3.6080722497621838e+00  -2.0581246656114991e+00   1.4938644535595319e-02   8.8745534505390329e+04
		   5.1109515138991952e+00   1.2635949826867511e-10
		   -3.0297812500000159e+01  -2.9841263479988211e+01  -3.4778313431516063e+05  -1.5385849937119900e+04   1.5886086584992420e+00   4.2529366852388790e+00
		   3.6170561346908658e+00  -5.4916534482583279e-01   3.4821906713199763e-02   5.9671133709588908e-01   3.8128098646564310e+00  -2.1840598753323359e-01  -3.9310531275971561e-05   7.2801036928582747e+04
10   3.5995571691771379e+03  -3.6444006296434197e+00  -1.3652077393182800e+00   8.2219121816466401e-03   1.2305305115907521e+00   4.7285211134046214e+00   5.4330496238973736e-03   9.9997892935349082e+04
		   3.3050328679643570e+00   1.9632915260592511e-12
		   -1.1404599609375040e+01  -8.7159635367215529e+00  -4.7315653772594408e+02  -6.2140075801725407e+03   8.1360653399273941e-01   6.2490304663046929e+00
		   1.0257823957117600e+00   2.6644886361194970e+00   7.5383382888486459e-04  -2.6519142517783760e+00   9.3949133862505663e-01  -1.1518849498450759e-02  -8.9235709590925768e-05   5.8492235031319840e+04
11   7.2050132438559440e+03   3.4985491459630591e+00  -1.7046001873903758e+00  -2.7918394010425507e-03  -5.8895099197394991e+00  -1.3748685847319329e+00  -1.3382384922768775e-03   5.9665385644312504e+04
		   6.1985232126736634e+00   1.7221849007961401e-11
		   -2.2144750000000180e+01  -2.1551438228759430e+01  -8.1766787409016047e+02  -1.1379700228343140e+05  -5.7065744153716969e+00   2.4048764996000491e+00
		  -1.4279509601142451e-01  -4.3061054274866162e-01  -2.9239729844562989e-05   4.1371424668564749e-01  -1.6631377666172550e-01  -1.4539312605054700e-05  -1.6996017319460520e-04   1.5192929511680240e+04
12   2.6494852418177361e+03   2.3095833482644115e+00  -3.1322925621739537e+00  -9.1532175918056513e-03  -3.9019972677266339e+00  -1.5905806840316619e+00   3.3916288806546124e-03   9.9999925751916526e+04
		   3.5334942010213131e+00   3.9513985168955859e-13
		   -1.4326750000000070e+01  -1.2766467377982501e+01  -3.4328714250873631e+01  -7.9134018405046427e+03  -3.0798319092427379e-01   2.0476859330562940e+00
		  -1.3528863656818539e+00   4.5497183898256024e+00   6.7901976520727018e-03  -4.8949274079306671e+00  -9.3256350213109884e-01   1.3215056987541961e-02  -4.3899201355348140e-05   7.9993407651515445e+04
13   7.9667755122984054e+03  -1.3681819038174706e-01   3.8892982554407411e+00  -1.2473404895323170e-02   3.9153127977041078e+00  -3.3769619306515897e+00  -4.8513710922493958e-03   7.6401395342556920e+04
		   1.9344660480667459e+00   1.4084644323292669e-12
		   -1.1944599609375040e+01  -1.1553492001670429e+01  -9.4309707346749201e+03  -3.3027839420657358e+02  -3.4568420295823592e+00   4.1330633572200686e+00
